,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Сотрудники,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт
1,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р
2,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в,в,р,р,р,р,в,в
3,в,в,р,в,в,в,р,в,р,в,в,р,р,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в
4,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р
5,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,р,в,р,в,в,р,в,в,р,в,в
6,в,в,р,в,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в
7,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,р,в,в,в,р
8,в,р,в,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в
9,в,в,р,в,в,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в
10,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,р,в,р,в,в,р,в,в,р,в,в,р
