,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Сотрудники,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс
worker1,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р
worker2,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,р,в,р,в,в,р,в,в,р,в,в,р,в,в
worker3,в,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,в
worker4,р,в,в,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,р,в,в,в,р,в,в,в
worker5,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,в
worker6,в,в,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в,в,р,р
worker7,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,р,в,р,в,в,р,в,в,р,в,в,р,в,в,в
worker8,в,р,р,р,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в
worker9,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,р,в,р,в,в,р,в
worker10,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,в
