,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Сотрудники,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт,ср,чт,пт,сб,вс,пн,вт
worker1,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,в,в,р
worker2,в,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,р,в,в,в,р,в,в,в,р,в
worker3,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в
worker4,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в,в,р,р,р,р
worker5,в,в,в,в,р,в,в,в,р,в,р,в,в,р,р,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в
worker6,р,р,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в
worker7,в,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,р,в,р,в,в,р,в,в,р
worker8,в,р,в,в,р,в,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,в,р,в
worker9,в,в,р,в,в,р,в,в,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р,в,в,р,в,р,в,в
worker10,в,р,в,р,в,в,р,в,в,р,в,в,р,в,р,р,в,в,р,в,в,в,в,в,р,в,в,р,в,р,р
